id,details
SECTION_14_WIRETAP_INTERCEPT,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-05 11:52:00 EST REPORTING AGENT: SA Michael Chang (ID: 9910) PRIMARY SUBJECTS: Victor Vance (The Tailor), Tariq Mansoor (Ghost) TARGET LINE: +1-312-555-0199 (Victor Vance) -> +1-973-555-0167 (Tariq Mansoor) TRANSCRIPT:   [2025-08-05 11:52:00 EST] Victor Vance: 'Did you authorize the release for Horizon Global Transfer (Account HGT-9011)?'   [2025-08-05 11:52:00 EST] Tariq Mansoor: 'It is pending at Pier 4, Gary Port Facility, Gary, IN. We need $353,000 sent to Crypto Wallet 0x71C...3A9D (Darknet Link).'   [2025-08-05 11:52:00 EST] Victor Vance: 'Make sure Ghost handles the transport in the White Freightliner Semi-Truck (Lic: TRK-9901).' --------------------------------------------------------------------------------"
SECTION_15_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-05 18:56:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Marcus Thorne (Enforcer), Carlos Mendez (El Toro) TRANSACTION RECORD:   Originator: Marcus Thorne / Meridian Holdings LLC (Shell Entity #8840)   Destination Account: Bank of America Acc #5540-1920-3341   Amount: $754,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-202-555-0143 active at 88 Industrial Parkway, Newark, NJ (Warehouse Depot). --------------------------------------------------------------------------------"
SECTION_16_FD-302_SURVEILLANCE,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-06 02:53:00 EST REPORTING AGENT: SA Michael Chang (ID: 9910) PRIMARY SUBJECTS: Victor Vance (The Tailor), Tariq Mansoor (Ghost) NARRATIVE: On 2025-08-06 02:53:00 EST, surveillance team observed Victor Vance operating Black 2021 Ford Explorer (IL Plate: 7XYZ-89). Subject traveled directly to 412 Oak Street, Paterson, NJ (Safehouse Alpha) where a clandestine meeting occurred with Tariq Mansoor. Subjects were observed discussing operations related to Pacific Import Export Co. (San Diego, CA). Subject Tariq Mansoor was seen carrying a sealed package into the facility. --------------------------------------------------------------------------------"
SECTION_17_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-06 04:40:00 EST REPORTING AGENT: SA David Ruiz (ID: 8842) PRIMARY SUBJECTS: Elena Rostova (The Tsaritsa), Marcus Thorne (Enforcer) TRANSACTION RECORD:   Originator: Elena Rostova / Horizon Global Transfer (Account HGT-9011)   Destination Account: First National Bank Acc #8839-10294-US   Amount: $345,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-312-555-0188 active at 412 Oak Street, Paterson, NJ (Safehouse Alpha). --------------------------------------------------------------------------------"
SECTION_18_FD-302_SURVEILLANCE,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-06 06:26:00 EST REPORTING AGENT: SA Michael Chang (ID: 9910) PRIMARY SUBJECTS: Marcus Thorne (Enforcer), Tariq Mansoor (Ghost) NARRATIVE: On 2025-08-06 06:26:00 EST, surveillance team observed Marcus Thorne operating Black 2021 Ford Explorer (IL Plate: 7XYZ-89). Subject traveled directly to Pier 4, Gary Port Facility, Gary, IN where a clandestine meeting occurred with Tariq Mansoor. Subjects were observed discussing operations related to Meridian Holdings LLC (Shell Entity #8840). Subject Tariq Mansoor was seen carrying a sealed package into the facility. --------------------------------------------------------------------------------"
SECTION_19_WIRETAP_INTERCEPT,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-06 12:01:00 EST REPORTING AGENT: SA David Ruiz (ID: 8842) PRIMARY SUBJECTS: Victor Vance (The Tailor), Carlos Mendez (El Toro) TARGET LINE: +1-312-555-0199 (Victor Vance) -> +1-619-555-0199 (Carlos Mendez) TRANSCRIPT:   [2025-08-06 12:01:00 EST] Victor Vance: 'Did you authorize the release for Pacific Import Export Co. (San Diego, CA)?'   [2025-08-06 12:01:00 EST] Carlos Mendez: 'It is pending at Pier 4, Gary Port Facility, Gary, IN. We need $64,000 sent to First National Bank Acc #8839-10294-US.'   [2025-08-06 12:01:00 EST] Victor Vance: 'Make sure El Toro handles the transport in the Silver Audi Q7 (VIN: WA1VAAFE4CD019283).' --------------------------------------------------------------------------------"
SECTION_20_WIRETAP_INTERCEPT,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-06 20:02:00 EST REPORTING AGENT: SA Michael Chang (ID: 9910) PRIMARY SUBJECTS: Marcus Thorne (Enforcer), Carlos Mendez (El Toro) TARGET LINE: +1-202-555-0143 (Marcus Thorne) -> +1-619-555-0199 (Carlos Mendez) TRANSCRIPT:   [2025-08-06 20:02:00 EST] Marcus Thorne: 'Did you authorize the release for Apex Freight Logistics (1428 Elmwood Ave, Chicago IL)?'   [2025-08-06 20:02:00 EST] Carlos Mendez: 'It is pending at 412 Oak Street, Paterson, NJ (Safehouse Alpha). We need $81,000 sent to Bank of America Acc #5540-1920-3341.'   [2025-08-06 20:02:00 EST] Marcus Thorne: 'Make sure El Toro handles the transport in the White Freightliner Semi-Truck (Lic: TRK-9901).' --------------------------------------------------------------------------------"
SECTION_21_FD-302_SURVEILLANCE,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-07 03:49:00 EST REPORTING AGENT: SA Michael Chang (ID: 9910) PRIMARY SUBJECTS: Marcus Thorne (Enforcer), Sarah Lin (Accountant) NARRATIVE: On 2025-08-07 03:49:00 EST, surveillance team observed Marcus Thorne operating Silver Audi Q7 (VIN: WA1VAAFE4CD019283). Subject traveled directly to 304 Pier Road, Gary, IN (Lakeside Bistro) where a clandestine meeting occurred with Sarah Lin. Subjects were observed discussing operations related to Pacific Import Export Co. (San Diego, CA). Subject Sarah Lin was seen carrying a sealed package into the facility. --------------------------------------------------------------------------------"
SECTION_22_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-07 06:38:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Victor Vance (The Tailor), Elena Rostova (The Tsaritsa) TRANSACTION RECORD:   Originator: Victor Vance / Horizon Global Transfer (Account HGT-9011)   Destination Account: Crypto Wallet 0x71C...3A9D (Darknet Link)   Amount: $478,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-312-555-0199 active at Pier 4, Gary Port Facility, Gary, IN. --------------------------------------------------------------------------------"
SECTION_23_FD-302_SURVEILLANCE,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-07 14:42:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Sarah Lin (Accountant), Marcus Thorne (Enforcer) NARRATIVE: On 2025-08-07 14:42:00 EST, surveillance team observed Sarah Lin operating White Freightliner Semi-Truck (Lic: TRK-9901). Subject traveled directly to 304 Pier Road, Gary, IN (Lakeside Bistro) where a clandestine meeting occurred with Marcus Thorne. Subjects were observed discussing operations related to Horizon Global Transfer (Account HGT-9011). Subject Marcus Thorne was seen carrying a sealed package into the facility. --------------------------------------------------------------------------------"
SECTION_24_CDR_CELLULAR_TOWER_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-07 22:48:00 EST REPORTING AGENT: SA David Ruiz (ID: 8842) PRIMARY SUBJECTS: Carlos Mendez (El Toro), Victor Vance (The Tailor) CELLULAR INTERCEPT DATA:   Device A: Carlos Mendez (+1-619-555-0199) | Device B: Victor Vance (+1-312-555-0199)   Cell Tower Sector: T-902 (304 Pier Road, Gary, IN (Lakeside Bistro))   Event: Call duration 378 seconds. Ping coordinates confirm both subjects in proximity. --------------------------------------------------------------------------------"
SECTION_25_CDR_CELLULAR_TOWER_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-08 07:37:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Sarah Lin (Accountant), Victor Vance (The Tailor) CELLULAR INTERCEPT DATA:   Device A: Sarah Lin (+1-619-555-0122) | Device B: Victor Vance (+1-312-555-0199)   Cell Tower Sector: T-902 (304 Pier Road, Gary, IN (Lakeside Bistro))   Event: Call duration 75 seconds. Ping coordinates confirm both subjects in proximity. --------------------------------------------------------------------------------"
SECTION_26_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-08 19:38:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Marcus Thorne (Enforcer), Elena Rostova (The Tsaritsa) TRANSACTION RECORD:   Originator: Marcus Thorne / Apex Freight Logistics (1428 Elmwood Ave, Chicago IL)   Destination Account: Crypto Wallet 0x71C...3A9D (Darknet Link)   Amount: $779,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-202-555-0143 active at 412 Oak Street, Paterson, NJ (Safehouse Alpha). --------------------------------------------------------------------------------"
SECTION_27_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-09 05:10:00 EST REPORTING AGENT: SA Michael Chang (ID: 9910) PRIMARY SUBJECTS: Victor Vance (The Tailor), Tariq Mansoor (Ghost) TRANSACTION RECORD:   Originator: Victor Vance / Meridian Holdings LLC (Shell Entity #8840)   Destination Account: First National Bank Acc #8839-10294-US   Amount: $242,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-312-555-0199 active at 1428 Elmwood Avenue, Chicago, IL (Apex Freight HQ). --------------------------------------------------------------------------------"
SECTION_28_FD-302_SURVEILLANCE,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-09 07:57:00 EST REPORTING AGENT: SA Michael Chang (ID: 9910) PRIMARY SUBJECTS: Elena Rostova (The Tsaritsa), Marcus Thorne (Enforcer) NARRATIVE: On 2025-08-09 07:57:00 EST, surveillance team observed Elena Rostova operating Black 2021 Ford Explorer (IL Plate: 7XYZ-89). Subject traveled directly to 88 Industrial Parkway, Newark, NJ (Warehouse Depot) where a clandestine meeting occurred with Marcus Thorne. Subjects were observed discussing operations related to Apex Freight Logistics (1428 Elmwood Ave, Chicago IL). Subject Marcus Thorne was seen carrying a sealed package into the facility. --------------------------------------------------------------------------------"
SECTION_29_WIRETAP_INTERCEPT,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-09 18:32:00 EST REPORTING AGENT: SA David Ruiz (ID: 8842) PRIMARY SUBJECTS: Elena Rostova (The Tsaritsa), Sarah Lin (Accountant) TARGET LINE: +1-312-555-0188 (Elena Rostova) -> +1-619-555-0122 (Sarah Lin) TRANSCRIPT:   [2025-08-09 18:32:00 EST] Elena Rostova: 'Did you authorize the release for Horizon Global Transfer (Account HGT-9011)?'   [2025-08-09 18:32:00 EST] Sarah Lin: 'It is pending at Pier 4, Gary Port Facility, Gary, IN. We need $156,000 sent to Crypto Wallet 0x71C...3A9D (Darknet Link).'   [2025-08-09 18:32:00 EST] Elena Rostova: 'Make sure Accountant handles the transport in the Black 2021 Ford Explorer (IL Plate: 7XYZ-89).' --------------------------------------------------------------------------------"
SECTION_30_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-10 02:05:00 EST REPORTING AGENT: SA Michael Chang (ID: 9910) PRIMARY SUBJECTS: Sarah Lin (Accountant), Elena Rostova (The Tsaritsa) TRANSACTION RECORD:   Originator: Sarah Lin / Meridian Holdings LLC (Shell Entity #8840)   Destination Account: Crypto Wallet 0x71C...3A9D (Darknet Link)   Amount: $422,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-619-555-0122 active at Pier 4, Gary Port Facility, Gary, IN. --------------------------------------------------------------------------------"
SECTION_31_CDR_CELLULAR_TOWER_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-10 03:35:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Tariq Mansoor (Ghost), Carlos Mendez (El Toro) CELLULAR INTERCEPT DATA:   Device A: Tariq Mansoor (+1-973-555-0167) | Device B: Carlos Mendez (+1-619-555-0199)   Cell Tower Sector: T-902 (1428 Elmwood Avenue, Chicago, IL (Apex Freight HQ))   Event: Call duration 104 seconds. Ping coordinates confirm both subjects in proximity. --------------------------------------------------------------------------------"
SECTION_32_FD-302_SURVEILLANCE,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-10 06:35:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Marcus Thorne (Enforcer), Sarah Lin (Accountant) NARRATIVE: On 2025-08-10 06:35:00 EST, surveillance team observed Marcus Thorne operating White Freightliner Semi-Truck (Lic: TRK-9901). Subject traveled directly to 412 Oak Street, Paterson, NJ (Safehouse Alpha) where a clandestine meeting occurred with Sarah Lin. Subjects were observed discussing operations related to Meridian Holdings LLC (Shell Entity #8840). Subject Sarah Lin was seen carrying a sealed package into the facility. --------------------------------------------------------------------------------"
SECTION_33_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-10 15:25:00 EST REPORTING AGENT: SA Michael Chang (ID: 9910) PRIMARY SUBJECTS: Sarah Lin (Accountant), Victor Vance (The Tailor) TRANSACTION RECORD:   Originator: Sarah Lin / Pacific Import Export Co. (San Diego, CA)   Destination Account: First National Bank Acc #8839-10294-US   Amount: $570,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-619-555-0122 active at 88 Industrial Parkway, Newark, NJ (Warehouse Depot). --------------------------------------------------------------------------------"
SECTION_34_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-11 04:22:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Sarah Lin (Accountant), Carlos Mendez (El Toro) TRANSACTION RECORD:   Originator: Sarah Lin / Pacific Import Export Co. (San Diego, CA)   Destination Account: Crypto Wallet 0x71C...3A9D (Darknet Link)   Amount: $393,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-619-555-0122 active at Pier 4, Gary Port Facility, Gary, IN. --------------------------------------------------------------------------------"
SECTION_35_CDR_CELLULAR_TOWER_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-11 06:31:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Tariq Mansoor (Ghost), Victor Vance (The Tailor) CELLULAR INTERCEPT DATA:   Device A: Tariq Mansoor (+1-973-555-0167) | Device B: Victor Vance (+1-312-555-0199)   Cell Tower Sector: T-902 (Pier 4, Gary Port Facility, Gary, IN)   Event: Call duration 437 seconds. Ping coordinates confirm both subjects in proximity. --------------------------------------------------------------------------------"
SECTION_36_WIRETAP_INTERCEPT,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-11 07:53:00 EST REPORTING AGENT: SA David Ruiz (ID: 8842) PRIMARY SUBJECTS: Sarah Lin (Accountant), Marcus Thorne (Enforcer) TARGET LINE: +1-619-555-0122 (Sarah Lin) -> +1-202-555-0143 (Marcus Thorne) TRANSCRIPT:   [2025-08-11 07:53:00 EST] Sarah Lin: 'Did you authorize the release for Horizon Global Transfer (Account HGT-9011)?'   [2025-08-11 07:53:00 EST] Marcus Thorne: 'It is pending at 88 Industrial Parkway, Newark, NJ (Warehouse Depot). We need $424,000 sent to Bank of America Acc #5540-1920-3341.'   [2025-08-11 07:53:00 EST] Sarah Lin: 'Make sure Enforcer handles the transport in the White Freightliner Semi-Truck (Lic: TRK-9901).' --------------------------------------------------------------------------------"
SECTION_37_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-11 12:20:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Carlos Mendez (El Toro), Victor Vance (The Tailor) TRANSACTION RECORD:   Originator: Carlos Mendez / Meridian Holdings LLC (Shell Entity #8840)   Destination Account: First National Bank Acc #8839-10294-US   Amount: $116,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-619-555-0199 active at 304 Pier Road, Gary, IN (Lakeside Bistro). --------------------------------------------------------------------------------"
SECTION_38_WIRETAP_INTERCEPT,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-11 21:02:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Victor Vance (The Tailor), Tariq Mansoor (Ghost) TARGET LINE: +1-312-555-0199 (Victor Vance) -> +1-973-555-0167 (Tariq Mansoor) TRANSCRIPT:   [2025-08-11 21:02:00 EST] Victor Vance: 'Did you authorize the release for Meridian Holdings LLC (Shell Entity #8840)?'   [2025-08-11 21:02:00 EST] Tariq Mansoor: 'It is pending at Pier 4, Gary Port Facility, Gary, IN. We need $174,000 sent to Crypto Wallet 0x71C...3A9D (Darknet Link).'   [2025-08-11 21:02:00 EST] Victor Vance: 'Make sure Ghost handles the transport in the Black 2021 Ford Explorer (IL Plate: 7XYZ-89).' --------------------------------------------------------------------------------"
SECTION_39_CDR_CELLULAR_TOWER_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-12 01:12:00 EST REPORTING AGENT: SA Sarah Jenkins (ID: 4102) PRIMARY SUBJECTS: Victor Vance (The Tailor), Elena Rostova (The Tsaritsa) CELLULAR INTERCEPT DATA:   Device A: Victor Vance (+1-312-555-0199) | Device B: Elena Rostova (+1-312-555-0188)   Cell Tower Sector: T-902 (Pier 4, Gary Port Facility, Gary, IN)   Event: Call duration 39 seconds. Ping coordinates confirm both subjects in proximity. --------------------------------------------------------------------------------"
SECTION_40_FINANCIAL_AUDIT_LOG,"FILE REF: 268A-CH-90412 DATE/TIME: 2025-08-12 06:20:00 EST REPORTING AGENT: SA Michael Chang (ID: 9910) PRIMARY SUBJECTS: Elena Rostova (The Tsaritsa), Victor Vance (The Tailor) TRANSACTION RECORD:   Originator: Elena Rostova / Horizon Global Transfer (Account HGT-9011)   Destination Account: Bank of America Acc #5540-1920-3341   Amount: $935,000.00 USD   Notes: Suspicious activity flag triggered. Linked to phone +1-312-555-0188 active at 88 Industrial Parkway, Newark, NJ (Warehouse Depot). --------------------------------------------------------------------------------"
